source_id;tipo;autoridade;escopo;titulo;url;observacao
SEFAZ_BA_RICMS_ANEXO1_2026;OFICIAL;SEFAZ-BA;BA;Anexo 1 do RICMS-BA - redação vigente 2026;https://mbusca.sefaz.ba.gov.br/DITRI/normas_complementares/decretos/decreto_2012_13780_ricms_anexo_1_vigente_2026.pdf;Autoridade estadual para mercadorias sujeitas à substituição ou antecipação tributária na Bahia
RFB_CLASSIF_NCM_JSON;OFICIAL;Receita Federal do Brasil;BR;Tabela NCM vigente - Sistema Classif;https://portalunico.siscomex.gov.br/classif/api/publico/nomenclatura/download/json;Endpoint JSON oficial sem captcha. Fornece a NCM vigente e é atualizado automaticamente pela Receita
CONFAZ_CV142_18;OFICIAL;CONFAZ;BR;Convênio ICMS 142/2018 e alterações;https://www.confaz.fazenda.gov.br/legislacao/convenios/2018/CV142_18;Autoridade normativa nacional para regime de substituição tributária e CEST; consumo automatizado ainda em avaliação
